track_ids,danergy,acousticness,instrumentalness,valence,loudness,tempo,duration_secs
7BEHswOuVrFajPeaDAZCbR,0.87,0.00251,0.00152,0.71,-4.751,115.219,285.347
1FxXNL5NGwKPQvPKUxa3VZ,0.8485,0.329,0.273,0.848,-3.02,109.136,214.547
0NwoZGQ13M8E6bvDT0f5vv,0.8055,0.186,0.00813,0.489,-3.535,99.41,296.333
1ZlkTsDGC9SMF3oXSXJLFY,0.8335,0.2,0.00338,0.83,-3.029,127.918,254.707
4mr7WFqQzE4NuQ4QlMhS2G,0.38,0.02,0.0,0.261,-6.059,175.73,242.64
4hjuUelurEBKlqpJPJ77Iw,0.8035,0.203,0.0,0.682,-3.892,110.019,203.44
5x45ULRgVLL68exMoRCcGt,0.7484999999999999,0.00534,0.0,0.615,-6.543,100.01,258.36
4VZDv8sASBS8UruUBGTFdk,0.668,0.4,0.0,0.546,-9.897,97.8,266.867
4CyvKTtdLUiKAYnmMMPNIl,0.47150000000000003,0.213,0.0,0.198,-11.509,146.353,278.533
6jJCk7oHNwyowOUaF3gXEu,0.831,0.07,3.62e-05,0.87,-4.678,118.092,220.227
38bDGWuyYdSdNfrFfbCiVS,0.839,0.0849,0.0,0.892,-5.204,145.024,288.4
4iiIHK46Csj8W7dDEviJf5,0.748,0.0348,0.0,0.916,-8.896,107.874,241.907
6SluaPiV04KOaRTOIScoff,0.5945,0.0746,0.0,0.706,-4.069,181.838,229.227
0idCpkJ2pspfAILbanmERu,0.6875,0.00465,0.0152,0.857,-4.439,200.102,221.293
1fUHylttRDqDImLCcgFLDs,0.653,0.1,3.06e-06,0.551,-7.871,103.113,225.613
6NGi23FFKq9tH5NR1NcTw2,0.5249999999999999,0.0353,0.0,0.256,-6.278,142.57,318.533
4WnYuVFXe6Si4fZqkxbnvS,0.4945,0.208,0.0,0.495,-5.125,170.773,258.333
4x6gUDeNzAB273nhsNIeuG,0.6835,0.589,2.04e-06,0.7,-9.158,83.72,248.893
5WcpqJMDqpIf7U3guPS9hR,0.6605,0.0706,3.1e-05,0.633,-5.871,97.137,215.827
